seed,success,termination/status,checkpoint,log_path,actions,tactile_changes
1000086,0,early_stop,951b1f2a80230deef1efd326b7c89690bc44adec1a3d195bc34d13df8182e6a3,eval_1000000_1000099/results/log.log,186,185
1000087,1,success,951b1f2a80230deef1efd326b7c89690bc44adec1a3d195bc34d13df8182e6a3,eval_1000000_1000099/results/log.log,138,137
1000088,0,early_stop,951b1f2a80230deef1efd326b7c89690bc44adec1a3d195bc34d13df8182e6a3,eval_1000000_1000099/results/log.log,152,151
1000089,0,early_stop,951b1f2a80230deef1efd326b7c89690bc44adec1a3d195bc34d13df8182e6a3,eval_1000000_1000099/results/log.log,207,206
1000090,0,early_stop,951b1f2a80230deef1efd326b7c89690bc44adec1a3d195bc34d13df8182e6a3,eval_1000000_1000099/results/log.log,137,136
1000091,1,success,951b1f2a80230deef1efd326b7c89690bc44adec1a3d195bc34d13df8182e6a3,eval_1000000_1000099/results/log.log,187,186
1000092,1,success,951b1f2a80230deef1efd326b7c89690bc44adec1a3d195bc34d13df8182e6a3,eval_1000000_1000099/results/log.log,266,265
1000093,1,success,951b1f2a80230deef1efd326b7c89690bc44adec1a3d195bc34d13df8182e6a3,eval_1000000_1000099/results/log.log,134,133
1000094,1,success,951b1f2a80230deef1efd326b7c89690bc44adec1a3d195bc34d13df8182e6a3,eval_1000000_1000099/results/log.log,263,262
1000095,0,timeout,951b1f2a80230deef1efd326b7c89690bc44adec1a3d195bc34d13df8182e6a3,eval_1000000_1000099/results/log.log,300,299
1000096,0,early_stop,951b1f2a80230deef1efd326b7c89690bc44adec1a3d195bc34d13df8182e6a3,eval_1000000_1000099/results/log.log,240,239
1000097,0,early_stop,951b1f2a80230deef1efd326b7c89690bc44adec1a3d195bc34d13df8182e6a3,eval_1000000_1000099/results/log.log,164,163
1000098,0,early_stop,951b1f2a80230deef1efd326b7c89690bc44adec1a3d195bc34d13df8182e6a3,eval_1000000_1000099/results/log.log,213,212
1000099,1,success,951b1f2a80230deef1efd326b7c89690bc44adec1a3d195bc34d13df8182e6a3,eval_1000000_1000099/results/log.log,203,202
